talentid,first_name,last_name,suffix,birth_date,gender
0000905,Roberto,Benigni,,1952-10-27,M
0000906,Annette,Bening,,1958-05-29,F
0000932,Halle,Berry,,1966-08-14,F
0000949,Cate,Blanchett,,1969-05-14,F
0000950,Brenda,Blethyn,,1946-02-20,F
0000966,Lorraine,Bracco,,1954-10-02,F
0000980,Jim,Broadbent,,1949-05-24,M
0000982,Josh,Brolin,,1968-02-12,M
0000983,Albert,Brooks,(I),1947-07-22,M
0000995,Ellen,Burstyn,,1932-12-07,F
0001046,Julie,Christie,(I),1941-04-14,F
0001049,Jill,Clayburgh,,1944-04-30,F
0001057,Toni,Collette,,1972-11-01,F
0001080,Lindsay,Crouse,,1948-05-12,F
0001109,Jaye,Davidson,(I),1968-03-21,M
0001114,Judy,Davis,(I),1955-04-23,F
0001117,Bruce,Davison,,1946-06-28,M
0001125,Benicio,Del Toro,,1967-02-19,M
0001132,Judi,Dench,,1934-12-09,F
0001136,Bruce,Dern,,1936-06-04,M
0001156,Olympia,Dukakis,,1931-06-20,
0001164,Charles,Durning,,1923-02-28,M
0001186,Denholm,Elliott,,1922-05-31,M
0001215,Albert,Finney,,1936-05-09,M
0001228,Peter,Fonda,(I),1940-02-23,M
0001233,Robert,Forster,(I),1941-07-13,M
0001258,James,Garner,(I),1928-04-07,M
0001283,Louis,Gossett Jr.,,1936-05-27,M
0001295,Graham,Greene,(II),1952-06-22,M
0001315,Marcia Gay,Harden,,1959-08-14,F
0001321,Richard,Harris,(I),1930-10-01,M
0001329,Nigel,Hawthorne,,1929-04-05,M
0001347,Barbara,Hershey,,1948-02-05,F
0001358,Hal,Holbrook,,1925-02-17,M
0001364,Bob,Hoskins,(I),1942-10-26,M
0001371,Tom,Hulce,,1953-12-06,M
0001373,Linda,Hunt,(I),1945-04-02,F
0001378,Anjelica,Huston,,1951-07-08,F
0001388,Amy,Irving,(I),1953-09-10,F
0001399,Marianne,Jean-Baptiste,,1967-04-26,F
0001401,Angelina,Jolie,,1975-06-04,F
0001416,Catherine,Keener,,1959-03-23,F
0001426,Ben,Kingsley,,1943-12-31,M
0001427,Greg,Kinnear,,1963-06-17,M
0001441,Christine,Lahti,(I),1950-04-04,
0001445,Martin,Landau,,1928-06-20,M
0001448,Jessica,Lange,(I),1949-04-20,F
0001449,Frank,Langella,,1938-01-01,M
0001451,Queen,Latifah,,1970-03-18,F
0001453,Piper,Laurie,,1932-01-22,F
0001467,Jared,Leto,,1971-12-26,M
0001473,Laura,Linney,,1964-02-05,F
0001475,John,Lithgow,(I),1945-10-19,M
0001496,Amy,Madigan,(I),1950-09-11,F
0001512,Mary Elizabeth,Mastrantonio,,1958-11-17,F
0001521,Mary,McDonnell,(I),1952-04-28,F
0001527,Elizabeth,McGovern,(I),1961-07-18,F
0001545,Dudley,Moore,,1935-04-19,M
0001546,Mary Tyler,Moore,,1936-12-29,F
0001550,Cathy,Moriarty,,1960-11-29,F
0001552,Pat,Morita,,1932-06-28,M
0001557,Viggo,Mortensen,,1958-10-20,M
0001570,Edward,Norton,(I),1969-08-18,M
0001574,Michael,O'Keefe,(I),1955-04-24,M
0001579,Edward James,Olmos,,1947-02-24,M
0001588,Jack,Palance,,1919-02-18,M
0001590,Chazz,Palminteri,,1952-05-15,M
0001593,Anna,Paquin,,1982-07-24,F
0001601,David,Paymer,,1954-08-30,M
0001609,Rosie,Perez,,1964-09-06,F
0001618,Joaquin,Phoenix,,1974-10-28,M
0001626,Christopher,Plummer,(I),1929-12-13,M
0001649,Anne,Ramsey,,1929-09-01,F
0001653,Stephen,Rea,(I),1946-10-31,M
0001655,Lynn,Redgrave,,1943-03-08,F
0001669,Miranda,Richardson,(I),1958-03-03,F
0001673,Jason,Robards,,1922-07-26,M
0001682,Mickey,Rooney,(I),1920-09-23,M
0001687,Gena,Rowlands,,1930-06-19,F
0001689,Mercedes,Ruehl,,1948-02-28,F
0001691,Geoffrey,Rush,,1951-07-06,M
0001702,Roy,Scheider,,1932-11-10,M
0001721,Chloë,Sevigny,,1974-11-18,F
0001731,Sam,Shepard,,1943-11-05,M
0001749,Maggie,Smith,(I),1934-12-28,F
0001767,Imelda,Staunton,,1956-01-09,F
0001777,Dean,Stockwell,,1936-03-05,M
0001784,Gloria,Stuart,,1910-07-04,F
0001788,Jessica,Tandy,,1909-06-07,F
0001800,Rip,Torn,,1931-02-06,M
0001804,Stanley,Tucci,(I),1960-11-11,M
0001832,Sam,Waterston,,1940-11-15,M
0001833,Emily,Watson,(I),1967-01-14,F
0001838,Rachel,Weisz,,1970-03-07,F
0001845,Forest,Whitaker,,1961-07-15,M
0001848,Dianne,Wiest,,1948-03-28,F
0001856,Oprah,Winfrey,,1954-01-29,F
0001858,Mare,Winningham,,1959-05-16,F
0001876,Catherine,Zeta-Jones,,1969-09-25,F
0001884,Max,von Sydow,(I),1929-04-10,M
0001903,Norma,Aleandro,,1936-05-02,F
0001919,Peggy,Ashcroft,,1907-12-22,F
0001923,Margaret,Avery,,1944-01-20,F
0001970,Klaus Maria,Brandauer,,1943-06-22,M
0002006,Thomas Haden,Church,,1960-06-17,M
0002018,Tom,Conti,,1941-11-22,M
0002039,Ruby,Dee,(I),1922-10-27,F
0002048,Melvyn,Douglas,,1901-04-05,M
0002070,Richard,Farnsworth,,1920-09-01,M
0002078,Frederic,Forrest,,1936-12-23,M
0002084,Brenda,Fricker,,1945-02-17,F
0002128,Tess,Harper,,1950-08-15,F
0002139,Judd,Hirsch,,1935-03-15,M
0002663,Diane,Ladd,,1935-11-29,F
0003817,Michael Clarke,Duncan,,1957-12-10,M
0004266,Anne,Hathaway,,1982-11-12,F
0004778,Adrien,Brody,,1973-04-14,M
0004851,Penélope,Cruz,,1974-04-28,F
0004937,Jamie,Foxx,,1967-12-13,M
0005023,Djimon,Hounsou,,1964-04-24,M
0005024,Terrence,Howard,(I),1969-03-11,M
0005028,Kate,Hudson,(I),1979-04-19,F
0005031,Felicity,Huffman,,1962-12-09,F
0005132,Heath,Ledger,,1979-04-04,M
0005162,Robert,Loggia,,1930-01-03,M
0005212,Ian,McKellen,,1939-05-25,M
0005216,Janet,McTeer,,1961-08-05,F
0005244,Fernanda,Montenegro,,1929-10-16,F
0005286,Haley Joel,Osment,,1988-04-10,M
0005460,Mary,Steenburgen,,1953-02-08,F
0005476,Hilary,Swank,,1974-07-30,F
0005569,Alfre,Woodard,,1952-11-08,F
0006890,Paul,Scofield,(I),1922-01-21,M
0010736,Amy,Adams,(III),1974-08-20,F
0013037,Shohreh,Aghdashloo,,1952-05-11,F
0056770,Adriana,Barraza,,1956-03-05,F
0057363,Barbara,Barrie,,1931-05-23,F
0067367,Bérénice,Bejo,,1976-07-07,F
0107281,Eileen,Brennan,(I),1932-09-03,F
0128360,Adolph,Caesar,,1933-12-05,M
0136797,Steve,Carell,,1962-08-16,M
0165101,Patricia,Clarkson,,1959-12-29,F
0168394,James,Coco,,1930-03-21,M
0172604,Pauline,Collins,,1940-09-03,F
0177896,Bradley,Cooper,(I),1975-01-05,M
0177933,Chris,Cooper,(I),1951-07-09,M
0182839,Marion,Cotillard,,1975-09-30,F
0183822,Tom,Courtenay,,1937-02-25,M
0205626,Viola,Davis,(I),1965-08-11,F
0227039,Melinda,Dillon,,1939-10-13,F
0241121,Jean,Dujardin,,1972-06-19,M
0251986,Jesse,Eisenberg,,1983-10-05,M
0252230,Chiwetel,Ejiofor,,1977-07-10,M
0267812,Vera,Farmiga,,1973-08-06,F
0290556,James,Franco,,1978-04-19,M
0306696,Vincent,Gardenia,,1920-01-07,M
0316079,Paul,Giamatti,,1967-06-06,M
0330143,Dexter,Gordon,(I),1923-02-27,M
0331516,Ryan,Gosling,,1980-11-12,M
0341737,Rachel,Griffiths,(I),1968-12-18,F
0350453,Jake,Gyllenhaal,,1980-12-19,M
0350454,Maggie,Gyllenhaal,,1977-11-16,F
0352466,Joan,Hackett,,1934-03-01,F
0355097,Jackie Earle,Haley,,1961-07-14,M
0365281,Rosemary,Harris,(I),1927-09-19,F
0370035,John,Hawkes,(I),1959-09-11,M
0377888,Justin,Henry,(I),1971-05-25,M
0378245,Taraji P.,Henson,,1970-09-11,F
0382676,William,Hickey,(I),1927-09-19,M
0413168,Hugh,Jackman,,1968-10-12,M
0420955,Richard,Jenkins,(I),1947-05-04,M
0428065,Felicity,Jones,(II),1983-10-17,F
0447695,Anna,Kendrick,(I),1985-08-09,F
0452860,Rinko,Kikuchi,,1981-01-06,F
0461136,Keira,Knightley,,1985-03-26,F
0499170,Eva,Le Gallienne,,1899-01-11 00:00:00,F
0502425,Melissa,Leo,(I),1960-09-14,F
0503627,Michael,Lerner,(I),1941-06-22,M
0556850,Marsha,Mason,(I),1942-04-03,F
0559144,Marlee,Matlin,,1965-08-24,F
0565250,Melissa,McCarthy,,1970-08-26,F
0594898,Mo'Nique,,,1967-12-11,F
0608090,Samantha,Morton,(I),1977-05-13,F
0625075,Kate,Nelligan,,1950-03-16,F
0628955,Haing S.,Ngor,,1940-03-22,M
0645683,Sophie,Okonedo,,1968-08-02,F
0654110,Clive,Owen,(I),1964-10-03,M
0656183,Geraldine,Page,,1924-11-22,F
0680983,Ellen,Page,,1987-02-21,F
0683253,Rosamund,Pike,,1979-01-27,F
0687506,Joan,Plowright,,1929-10-28,F
0696481,Robert,Preston,(I),1918-06-08,M
0719637,Jeremy,Renner,,1971-01-07,M
0724732,Ralph,Richardson,(I),1902-12-19,M
0728938,Emmanuelle,Riva,,1927-02-24,F
0738415,Howard E.,Rollins Jr.,,1950-10-17,M
0749263,Mark,Ruffalo,,1967-11-22,M
0752407,Amy,Ryan,(I),1968-05-03,F
0769311,Diana,Scarwid,,1955-08-27,F
0788335,Michael,Shannon,(V),1974-08-07,M
0799777,J.K.,Simmons,,1955-01-09,M
0815433,Ann,Sothern,,1909-01-22,F
0818055,Octavia,Spencer,,1970-05-25,F
0820053,June,Squibb,,1929-11-06,F
0822535,Kim,Stanley,(I),1925-02-11,F
0822972,Maureen,Stapleton,,1925-06-21,F
0842770,Tilda,Swinton,,1960-11-05,F
0910278,Julie,Walters,(I),1950-02-22,F
0910607,Christoph,Waltz,,1956-10-04,M
0913822,Ken,Watanabe,(I),1959-10-21,M
0915208,Naomi,Watts,,1968-09-28,F
0915865,Jacki,Weaver,,1947-05-25,F
0929489,Tom,Wilkinson,(I),1948-02-05,M
0931329,Michelle,Williams,(I),1980-09-09,F
0940946,Joanne,Woodward,(I),1930-02-27,F
1020089,Sally,Hawkins,(I),1976-04-27,F
1055413,Michael,Fassbender,,1977-04-02,M
1095720,Keisha,Castle-Hughes,,1990-03-24,F
1113550,Abigail,Breslin,(I),1996-04-14,F
1212722,Benedict,Cumberbatch,,1976-07-19,M
1297015,Emma,Stone,(III),1988-11-06,F
1503432,Catalina Sandino,Moreno,,1981-04-19,F
1519666,Eddie,Redmayne,,1982-01-06,M
1519680,Saoirse,Ronan,,1994-04-12,F
1567113,Jessica,Chastain,,1977-03-24,F
1617685,Jennifer,Hudson,(I),1981-09-12,F
1659547,Carey,Mulligan,,1985-05-28,F
1706767,Jonah,Hill,,1983-12-20,M
1913734,Rooney,Mara,,1985-04-17,F
2143282,Lupita,Nyong'o,,1983-03-01,F
2225369,Jennifer,Lawrence,(III),1990-08-15,F
2794962,Hailee,Steinfeld,,1996-12-11,F
2829737,Gabourey,Sidibe,,1983-05-06,F
4832920,Quvenzhané,Wallis,,2003-08-28,F
5831542,Barkhad,Abdi,,1985-04-10,M
